ID,Name,Tags,Link
1742E,Scuza,"binary search, greedy, math",https://codeforces.com/contest/1742/problem/E
1671C,Dolce Vita,"binary search, brute force, greedy, math",https://codeforces.com/contest/1671/problem/C
2236C,Omsk Programmers,"brute force, greedy, math",https://codeforces.com/contest/2236/problem/C
1679B,Stone Age Problem,"data structures, implementation",https://codeforces.com/contest/1679/problem/B
1927D,Find the Different Ones!,"binary search, brute force, data structures, dp, dsu, greedy, two pointers",https://codeforces.com/contest/1927/problem/D
1635C,Differential Sorting,"constructive algorithms, greedy",https://codeforces.com/contest/1635/problem/C
2238A,Another Puzzle from Papyrus,"greedy, math, sortings",https://codeforces.com/contest/2238/problem/A
1582C,Grandma Capa Knits a Scarf,"brute force, data structures, greedy, strings, two pointers",https://codeforces.com/contest/1582/problem/C
1790D,Matryoshkas,"data structures, greedy, sortings",https://codeforces.com/contest/1790/problem/D
1504B,Flip the Bits,"constructive algorithms, greedy, implementation, math",https://codeforces.com/contest/1504/problem/B
1497B,M-arrays,"constructive algorithms, greedy, math",https://codeforces.com/contest/1497/problem/B
1594C,Make Them Equal,"brute force, greedy, math, strings",https://codeforces.com/contest/1594/problem/C
1487B,Cat Cycle,"math, number theory",https://codeforces.com/contest/1487/problem/B
1734C,Removing Smallest Multiples,"greedy, math",https://codeforces.com/contest/1734/problem/C
2236B,Tatar TV Show,"greedy, math, strings",https://codeforces.com/contest/2236/problem/B
2236A,Games on the Train,"greedy, math",https://codeforces.com/contest/2236/problem/A
1780B,GCD Partition,"brute force, greedy, math, number theory",https://codeforces.com/contest/1780/problem/B
2179A,Blackslex and Password,"math, strings",https://codeforces.com/contest/2179/problem/A
1731B,Kill Demodogs,"greedy, math",https://codeforces.com/contest/1731/problem/B
1364B,Most socially-distanced subsequence,"greedy, two pointers",https://codeforces.com/contest/1364/problem/B
1873E,Building an Aquarium,"binary search, sortings",https://codeforces.com/contest/1873/problem/E
1632B,Roof Construction,"bitmasks, constructive algorithms",https://codeforces.com/contest/1632/problem/B
2218E,The 67th XOR Problem,"binary search, bitmasks, brute force",https://codeforces.com/contest/2218/problem/E
1433D,Districts Connection,"constructive algorithms, dfs and similar",https://codeforces.com/contest/1433/problem/D
1472D,Even-Odd Game,"dp, games, greedy, sortings",https://codeforces.com/contest/1472/problem/D
1669H,Maximal AND,"bitmasks, greedy, math",https://codeforces.com/contest/1669/problem/H
189A,Cut Ribbon,"brute force, dp",https://codeforces.com/contest/189/problem/A
520B,Two Buttons,"dfs and similar, graphs, greedy, implementation, math, shortest paths",https://codeforces.com/contest/520/problem/B
