ID,Name,Tags,Link
69A,Young Physicist,"implementation, math",https://codeforces.com/contest/69/problem/A
1328A,Divisibility Problem,math,https://codeforces.com/contest/1328/problem/A
2195B,Heapify 1,"implementation, sortings",https://codeforces.com/contest/2195/problem/B
2195A,Sieve of Erato67henes,"math, number theory",https://codeforces.com/contest/2195/problem/A
1030A,In Search of an Easy Problem,implementation,https://codeforces.com/contest/1030/problem/A
1742C,Stripes,implementation,https://codeforces.com/contest/1742/problem/C
1692C,Where's the Bishop?,implementation,https://codeforces.com/contest/1692/problem/C
1904A,Forked!,"brute force, implementation",https://codeforces.com/contest/1904/problem/A
1360C,Similar Pairs,"constructive algorithms, graph matchings, greedy, sortings",https://codeforces.com/contest/1360/problem/C
1703C,Cypher,"brute force, implementation, strings",https://codeforces.com/contest/1703/problem/C
1551A,Polycarp and Coins,"greedy, math",https://codeforces.com/contest/1551/problem/A
1512A,Spy Detected!,"brute force, implementation",https://codeforces.com/contest/1512/problem/A
1472B,Fair Division,"dp, greedy, math",https://codeforces.com/contest/1472/problem/B
1409A,Yet Another Two Integers Problem,"greedy, math",https://codeforces.com/contest/1409/problem/A
1399A,Remove Smallest,"greedy, sortings",https://codeforces.com/contest/1399/problem/A
371C,Hamburgers,"binary search, brute force",https://codeforces.com/contest/371/problem/C
1343B,Balanced Array,"constructive algorithms, math",https://codeforces.com/contest/1343/problem/B
1352A,Sum of Round Numbers,"implementation, math",https://codeforces.com/contest/1352/problem/A
29C,Mail Stamps,"data structures, dfs and similar, graphs, implementation",https://codeforces.com/contest/29/problem/C
1057A,Bmail Computer Network,"*special, dfs and similar, trees",https://codeforces.com/contest/1057/problem/A
522A,Reposts,"*special, dfs and similar, dp, graphs, trees",https://codeforces.com/contest/522/problem/A
1336A,Linova and Kingdom,"dfs and similar, dp, greedy, sortings, trees",https://codeforces.com/contest/1336/problem/A
1143C,Queen,"dfs and similar, trees",https://codeforces.com/contest/1143/problem/C
1676G,White-Black Balanced Subtrees,"dfs and similar, dp, graphs, trees",https://codeforces.com/contest/1676/problem/G
913B,Christmas Spruce,"implementation, trees",https://codeforces.com/contest/913/problem/B
580C,Kefa and Park,"dfs and similar, graphs, trees",https://codeforces.com/contest/580/problem/C
1741D,Masha and a Beautiful Tree,"dfs and similar, divide and conquer, graphs, sortings, trees",https://codeforces.com/contest/1741/problem/D
115A,Party,"dfs and similar, graphs, trees",https://codeforces.com/contest/115/problem/A
5C,Longest Regular Bracket Sequence,"constructive algorithms, data structures, dp, greedy, sortings, strings",https://codeforces.com/contest/5/problem/C
1005A,Tanya and Stairways,implementation,https://codeforces.com/contest/1005/problem/A
158A,Next Round,"*special, implementation",https://codeforces.com/contest/158/problem/A
546A,Soldier and Bananas,"brute force, implementation, math",https://codeforces.com/contest/546/problem/A
617A,Elephant,math,https://codeforces.com/contest/617/problem/A
791A,Bear and Big Brother,implementation,https://codeforces.com/contest/791/problem/A
845C,Two TVs,"data structures, greedy, sortings",https://codeforces.com/contest/845/problem/C
797C,Minimal string,"data structures, greedy, strings",https://codeforces.com/contest/797/problem/C
466C,Number of Ways,"binary search, brute force, data structures, dp, two pointers",https://codeforces.com/contest/466/problem/C
401C,Team,"constructive algorithms, greedy, implementation",https://codeforces.com/contest/401/problem/C
961B,Lecture Sleep,"data structures, dp, implementation, two pointers",https://codeforces.com/contest/961/problem/B
816B,Karen and Coffee,"binary search, data structures, implementation",https://codeforces.com/contest/816/problem/B
276C,Little Girl and Maximum Sum,"data structures, greedy, implementation, sortings",https://codeforces.com/contest/276/problem/C
372A,Counting Kangaroos is Fun,"binary search, greedy, sortings, two pointers",https://codeforces.com/contest/372/problem/A
2185B,Prefix Max,greedy,https://codeforces.com/contest/2185/problem/B
2185A,Perfect Root,"constructive algorithms, math",https://codeforces.com/contest/2185/problem/A
451B,Sort the Array,"implementation, sortings",https://codeforces.com/contest/451/problem/B
160A,Twins,"greedy, sortings",https://codeforces.com/contest/160/problem/A
230B,T-primes,"binary search, implementation, math, number theory",https://codeforces.com/contest/230/problem/B
1A,Theatre Square,math,https://codeforces.com/contest/1/problem/A
1363A,Odd Selection,"brute force, implementation, math",https://codeforces.com/contest/1363/problem/A
1873A,Short Sort,"brute force, implementation",https://codeforces.com/contest/1873/problem/A
1343C,Alternating Subsequence,"dp, greedy, two pointers",https://codeforces.com/contest/1343/problem/C
26A,Almost Prime,number theory,https://codeforces.com/contest/26/problem/A
1352D,"Alice, Bob and Candies",implementation,https://codeforces.com/contest/1352/problem/D
230A,Dragons,"greedy, sortings",https://codeforces.com/contest/230/problem/A
478B,Random Teams,"combinatorics, constructive algorithms, greedy, math",https://codeforces.com/contest/478/problem/B
545D,Queue,"greedy, implementation, sortings",https://codeforces.com/contest/545/problem/D
492B,Vanya and Lanterns,"binary search, implementation, math, sortings",https://codeforces.com/contest/492/problem/B
26B,Regular Bracket Sequence,greedy,https://codeforces.com/contest/26/problem/B
546C,Soldier and Cards,"brute force, dfs and similar, games",https://codeforces.com/contest/546/problem/C
474B,Worms,"binary search, implementation",https://codeforces.com/contest/474/problem/B
6C,"Alice, Bob and Chocolate","greedy, two pointers",https://codeforces.com/contest/6/problem/C
58A,Chat room,"greedy, strings",https://codeforces.com/contest/58/problem/A
118A,String Task,"implementation, strings",https://codeforces.com/contest/118/problem/A
266B,Queue at the School,"constructive algorithms, graph matchings, implementation, shortest paths",https://codeforces.com/contest/266/problem/B
263A,Beautiful Matrix,implementation,https://codeforces.com/contest/263/problem/A
231A,Team,"brute force, greedy",https://codeforces.com/contest/231/problem/A
489C,Given Length and Sum of Digits...,"dp, greedy, implementation",https://codeforces.com/contest/489/problem/C
343B,Alternating Current,"data structures, greedy, implementation",https://codeforces.com/contest/343/problem/B
381A,Sereja and Dima,"greedy, implementation, two pointers",https://codeforces.com/contest/381/problem/A
71A,Way Too Long Words,strings,https://codeforces.com/contest/71/problem/A
4A,Watermelon,"brute force, math",https://codeforces.com/contest/4/problem/A
2172E,Number Maze,implementation,https://codeforces.com/contest/2172/problem/E
1294C,Product of Three Numbers,"greedy, math, number theory",https://codeforces.com/contest/1294/problem/C
1077C,Good Array,,https://codeforces.com/contest/1077/problem/C
2148D,Destruction of the Dandelion Fields,"constructive algorithms, greedy, sortings",https://codeforces.com/contest/2148/problem/D
2014A,Robin Helps,"greedy, implementation",https://codeforces.com/contest/2014/problem/A
